symbol,timestamp,signal,entry_ltp,exit_ltp,pnl,target,SMMA20,SMMA120,SMMA_gap,price_change_pct,volume
NSE_AXISBANK-EQ,1767340800,SELL,1267.7,1266.6,1.1000000000001364,1,1273.997591740034,1274.2130162558692,-0.21542451583513866,-0.10244286840031162,42209
NSE_KOTAKBANK-EQ,1767346800,SELL,439.96,440.96,-1.0,0,442.04880687425174,442.0696602462049,-0.020853371953137412,0.2460809332847211,390380
NSE_INFY-EQ,1767585900,SELL,1590.9,1597.0,-6.099999999999909,0,1631.7976679835676,1633.5194238731567,-1.721755889589076,-0.35700864336714383,131429
NSE_AXISBANK-EQ,1767586800,BUY,1284.8,1286.2,1.400000000000091,1,1273.6421665803955,1273.5473319952646,0.09483458513091136,0.14029618082618509,87223
NSE_TCS-EQ,1767587400,SELL,3195.3,3224.0,-28.699999999999818,0,3229.302221926972,3229.6457856420166,-0.34356371504463823,0.08770555990603546,32965
NSE_HDFCBANK-EQ,1767587700,SELL,988.55,988.05,0.5,1,995.0447312086487,995.2079199141139,-0.16318870546513153,0.20272667376210027,374188
NSE_RELIANCE-EQ,1767603600,SELL,1579.9,1529.1,50.80000000000018,1,1587.0462355093518,1587.0873291242779,-0.04109361492601238,0.018992149911381484,76265
NSE_TCS-EQ,1767674100,BUY,3239.8,3237.1,-2.700000000000273,0,3228.107388840145,3227.6437730346715,0.463615805473637,-0.06477682840309414,28155
NSE_LT-EQ,1767690000,SELL,4140.4,4124.9,15.5,1,4153.632685911869,4154.036189251874,-0.4035033400050452,-0.1326611833377554,13298
NSE_INFY-EQ,1767759600,BUY,1626.7,1632.8,6.099999999999909,1,1617.0191310785563,1616.9292728604726,0.0898582180836911,0.06766732283465406,34340
NSE_SBIN-EQ,1767843900,SELL,1006.4,1009.7,-3.300000000000068,0,1008.143699430833,1008.1838073471771,-0.040107916344140904,-0.049657364187108956,379144
NSE_LT-EQ,1767844200,BUY,4161.0,4161.6,0.6000000000003638,1,4146.040569073957,4146.0293612476435,0.011207826313693658,0.10103926096997254,10004
NSE_SBIN-EQ,1767847200,BUY,1011.1,1004.65,-6.4500000000000455,0,1008.2914461319267,1008.1927812649307,0.09866486699604593,0.20812685827552257,83655
NSE_TCS-EQ,1767848100,SELL,3197.3,3204.3,-7.0,0,3253.30525007083,3253.91371907588,-0.6084690050502104,-0.3242198459955618,99818
NSE_SBIN-EQ,1767850200,SELL,1004.85,997.55,7.300000000000068,1,1008.1276942301771,1008.184553160672,-0.056858930494854576,-0.1043841336116865,133016
NSE_LT-EQ,1767854100,SELL,4122.1,4111.5,10.600000000000364,1,4146.729534874084,4147.340643050454,-0.6111081763701804,-0.11631006324357927,12418
NSE_INFY-EQ,1767855900,SELL,1617.5,1611.8,5.7000000000000455,1,1624.1663089315748,1624.236884684997,-0.07057575342219025,0.12380068090374496,11532
NSE_AXISBANK-EQ,1767859800,SELL,1286.8,1288.3,-1.5,0,1288.6909665530206,1288.7280485355154,-0.037081982494783006,-0.05436893203883848,8707
NSE_AXISBANK-EQ,1767862200,BUY,1290.0,1286.5,-3.5,0,1288.7530778530133,1288.7307865441612,0.022291308852118163,-0.0774593338497289,33222
NSE_AXISBANK-EQ,1767862500,SELL,1287.9,1286.0,1.900000000000091,1,1288.7104239603627,1288.72386332296,-0.01343936259718248,-0.16279069767441157,65899
NSE_AXISBANK-EQ,1767862800,BUY,1289.7,1294.0,4.2999999999999545,1,1288.7599027623446,1288.7319977952686,0.027904967075983222,0.13976240391334377,77065
NSE_AXISBANK-EQ,1767864600,SELL,1287.2,1282.2,5.0,1,1288.6579454567004,1288.71690750642,-0.05896204971963925,-0.05435204596630525,110683
NSE_ICICIBANK-EQ,1767938100,SELL,1403.2,1407.0,-3.7999999999999545,0,1415.3336083547065,1415.6588857670006,-0.3252774122940991,0.0,50841
